Time,Vrms,Irms,Temperature,Vibration
2026-06-21 11:46:45,284.61,34.91,61.06,1.08
2026-06-21 11:46:48,270.76,36.71,66.40,1.05
2026-06-21 11:46:52,286.67,34.63,61.61,0.98
2026-06-21 11:46:54,270.92,36.68,63.96,1.03
2026-06-21 11:46:57,275.82,35.99,63.36,0.88
2026-06-21 11:47:00,291.08,34.12,59.65,0.96
2026-06-21 11:47:03,280.42,35.42,61.76,1.02
2026-06-21 11:47:06,288.41,34.40,60.14,0.83
2026-06-21 11:47:08,292.11,34.04,63.33,1.68
2026-06-21 11:47:10,273.13,36.39,65.51,0.74
2026-06-21 11:47:12,285.84,34.74,60.59,1.11
2026-06-21 11:47:15,278.28,35.73,63.41,0.93
2026-06-21 11:47:16,288.02,34.50,60.71,1.23
2026-06-21 11:47:18,274.60,36.15,64.39,1.13
2026-06-21 11:47:19,277.73,35.75,61.73,1.00
2026-06-21 11:47:21,286.23,34.68,59.05,0.73
2026-06-21 11:47:22,290.76,34.18,60.87,0.95
2026-06-21 11:47:24,276.41,35.92,62.80,0.57
2026-06-21 11:47:26,280.87,35.39,61.63,1.23
2026-06-21 11:47:27,270.86,36.69,65.02,1.24
2026-06-21 11:47:30,269.23,36.88,64.40,0.99
2026-06-21 11:47:32,279.47,35.54,63.41,1.14
2026-06-21 11:47:36,277.61,35.79,64.10,0.94
2026-06-21 11:47:39,279.48,35.59,60.75,0.77
2026-06-21 11:47:43,269.02,36.92,65.23,1.07
2026-06-21 11:47:46,269.46,36.85,64.84,0.81
2026-06-21 11:47:49,286.40,34.66,61.47,0.96
2026-06-21 11:47:52,288.46,34.42,58.96,0.93
2026-06-21 11:47:54,285.42,34.78,60.75,0.95
2026-06-21 11:47:56,294.13,33.81,59.83,0.57
2026-06-21 11:47:58,279.72,35.52,63.53,0.83
2026-06-21 11:48:00,283.27,35.08,62.21,0.88
2026-06-21 11:48:01,281.90,35.22,62.64,0.81
2026-06-21 11:48:03,272.65,36.48,66.01,1.06
2026-06-21 11:48:04,281.62,35.30,61.22,1.10
2026-06-21 11:48:06,289.57,34.29,61.87,1.11
2026-06-21 11:48:07,278.97,35.63,62.69,0.56
2026-06-21 11:48:10,289.00,34.36,60.79,1.48
2026-06-21 11:48:11,276.27,35.95,64.08,0.89
2026-06-21 11:48:13,279.64,35.54,63.86,0.95
2026-06-21 11:48:15,268.81,36.92,64.66,0.92
2026-06-21 11:48:16,281.46,35.32,60.48,1.11
2026-06-21 11:48:18,280.18,35.46,62.81,1.16
2026-06-21 11:48:20,272.09,36.56,65.91,0.91
2026-06-21 11:48:21,283.17,35.05,62.22,0.75
2026-06-21 11:48:23,293.53,33.88,59.00,1.02
2026-06-21 11:48:25,269.20,36.89,66.62,0.91
2026-06-21 11:48:26,287.91,34.50,62.23,1.55
2026-06-21 11:48:28,277.91,35.73,62.81,0.72
2026-06-21 11:48:30,272.63,36.46,65.18,1.23
2026-06-21 11:48:32,295.13,33.68,59.27,0.87
2026-06-21 11:48:33,272.90,36.41,64.21,0.98
2026-06-21 11:48:35,284.87,34.84,62.41,1.09
2026-06-21 11:48:39,290.47,34.18,59.42,0.79
2026-06-21 11:48:42,277.02,35.89,63.97,0.67
2026-06-21 11:48:46,292.34,33.99,59.61,1.14
2026-06-21 11:48:49,280.30,35.48,61.22,0.69
2026-06-21 11:48:52,273.50,36.33,64.44,0.92
2026-06-21 11:48:56,273.90,36.28,63.69,1.03
2026-06-21 11:48:59,275.93,35.99,64.67,0.83
2026-06-21 11:49:02,277.61,35.78,66.16,0.70
2026-06-21 11:49:06,279.33,35.61,62.81,0.83
2026-06-21 11:49:09,288.74,34.38,60.95,1.46
2026-06-21 11:49:12,291.11,34.15,60.54,0.89
2026-06-21 11:49:16,268.70,36.93,66.47,0.97
2026-06-21 11:49:19,275.49,36.03,63.94,1.22
2026-06-21 11:49:22,285.95,34.74,60.09,1.05
2026-06-21 11:49:26,270.75,36.73,64.28,0.95
2026-06-21 11:49:29,274.93,36.12,62.21,1.13
2026-06-21 11:49:32,274.58,36.15,64.43,0.85
2026-06-21 11:49:35,281.85,35.23,62.34,1.19
2026-06-21 11:49:38,276.82,35.90,63.30,1.32
2026-06-21 11:49:41,282.38,35.19,61.34,0.91
2026-06-21 11:49:43,276.13,35.93,63.93,1.18
2026-06-21 11:49:46,268.63,36.95,67.31,1.01
2026-06-21 11:49:47,269.42,36.86,64.10,0.92
2026-06-21 11:49:49,287.52,34.53,61.06,1.02
2026-06-21 11:49:51,270.99,36.69,65.60,0.98
2026-06-21 11:49:52,280.57,35.46,63.47,0.86
2026-06-21 11:49:54,273.59,36.32,63.02,0.98
2026-06-21 11:49:55,288.96,34.36,59.77,1.06
2026-06-21 11:49:57,291.64,34.07,58.83,0.70
2026-06-21 11:49:58,290.85,34.17,59.88,1.23
2026-06-21 11:50:00,282.62,35.16,61.85,0.79
2026-06-21 11:50:02,269.30,36.88,65.55,1.26
2026-06-21 11:50:03,278.55,35.69,62.95,1.22
2026-06-21 11:50:04,274.02,36.25,64.32,1.26
2026-06-21 11:50:06,271.06,36.68,65.31,0.95
2026-06-21 11:50:07,279.07,35.61,63.40,1.16
2026-06-21 11:50:09,285.35,34.79,62.03,1.21
2026-06-21 11:50:10,280.56,35.46,62.87,0.75
2026-06-21 11:50:12,294.79,33.74,57.70,0.75
2026-06-21 11:50:14,282.83,35.14,60.43,1.45
2026-06-21 11:50:16,277.82,35.74,61.25,0.77
2026-06-21 11:50:17,283.08,35.09,60.23,0.91
2026-06-21 11:50:19,274.12,36.24,64.23,0.99
2026-06-21 11:50:20,295.50,33.66,58.43,0.73
2026-06-21 11:50:22,279.14,35.63,62.64,1.16
2026-06-21 11:50:23,272.12,36.54,66.13,0.99
2026-06-21 11:50:25,290.07,34.21,58.88,1.02
2026-06-21 11:50:26,274.61,36.16,63.88,0.97
2026-06-21 11:50:28,277.91,35.73,64.15,0.72
2026-06-21 11:50:29,275.84,35.99,64.05,0.97
2026-06-21 11:50:31,271.43,36.62,64.86,0.83
